age,marital_status,gender,occupation,education,fg_motor,fg_language,fg_interactions,fg_emotional,fg_curiosity,fg_self_recognition,fg_total,sa_friendships,sa_rules,sa_empathy,sa_self_regulation,sa_independence,sa_hobbies,sa_total,id_self_awareness,id_peer_interest,id_exploration,id_emotional_challenges,id_abstract_thinking,id_physical_changes,id_total,ir_independence,ir_responsibility,ir_vocational,ir_values,ir_relationships,ir_longterm_planning,ir_total,cr_transition_to_adult,cr_focus_on_career,cr_form_relationship,cr_longterm_goals,cr_manages_finances,cr_explore_identity,cr_total,fa_establish_family,fa_career_advancement,fa_financial_planning,fa_work_life_balance,fa_build_home_env,fa_support_networks,fa_total,st_stability_career,st_self_refinement,st_life_goal_adjustment,st_health_focus,st_work_life_balance,st_community_contribution,st_total,ml_reflect_achievements,ml_adjust_goals,ml_focus_purpose,ml_meaningful_activities,ml_strengthen_relationships,ml_address_challenges,ml_total,er_career_peak,er_mentorship_roles,er_children_focus,er_legacy_investment,er_community_service,er_balance_responsibilities,er_total,sa_nurtures_others,sa_personal_goals,sa_creative_interests,sa_work_life_harmony,sa_future_preparation,sa_share_wisdom,sa2_total,ws_self_care,ws_life_priority,ws_mentoring_extensive,ws_lifelong_learning,ws_emotional_resilience,ws_financial_planning,ws_total,pr_lifestyle_adjustment,pr_meaningful_activities,pr_health_management,pr_legacy_building,pr_career_transition,pr_retirement,pr_total,lr_community_contribution,lr_document_life,lr_family_connections,lr_reflect_achievements,lr_social_engagement,lr_emotional_stability,lr_total,em_mental_wellbeing,em_gratitude,em_life_acceptance,em_simple_joy,em_positive_outlook,em_counsel_others,em_total,wm_offer_councel,wm_find_peace,wm_foster_resilience,wm_shares_stories,wm_spiritual_pursuits,wm_meaningful_relationship,wm_total,ar_adapts_to_health,ar_strengthen_relationships,ar_pass_on_traditions,ar_life_reflection,ar_resilience_aging,ar_maintain_independence,ar_total,sr_serenity_practices,sr_life_reflection,sr_family_milestones,sr_quiet_pursuits,sr_support_networks,sr_sense_of_purpose,sr_total,lf_storytelling,lf_inspire_future,lf_spiritual_beliefs,lf_family_connections,lf_focus_legacy,lf_accept_assistance,lf_total,co_inner_peace,co_simplicity,co_strengthen_bonds,co_express_gratitude,co_positive_memories,co_prioritize_wellbeing,co_total,rs_final_reflection,rs_preserve_memories,rs_support_systems,rs_spiritual_closure,rs_share_wisdom,rs_end_of_life,rs_total,ex_century_reflection,ex_share_wisdom,ex_family_unity,ex_celebrate_centenarian,ex_mental_engagement,ex_historical_perspective,ex_total,pa_life_stages,pa_dignity,pa_meaningful_connections,pa_daily_comfort,pa_caregivers,pa_memories_solace,pa_total,gl_celebrate_longevity,gl_express_gratitude,gl_foster_peace,gl_appreciate_legacy,gl_share_insights,gl_grateful_mindset,gl_total,fm_accept_life_cycle,fm_pass_wisdom,fm_find_closure,fm_lifetime_reflection,fm_support_system,fm_final_peace,fm_total,observed_lustrum,observed_decade,observed_generation,observed_life_stage,observed_human_maturogram,predicted_lustrum,predicted_decade,predicted_generation,predicted_life_stage,predicted_human_maturogram,percentage_hm,maturity_zone,__cached_at,__synced
18,Not married,Male,Student,O'Level,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,47,4,2,1,2,33,142.42,Violet Zone (Cosmetic Maturity),2025-12-18T06:24:52.527141,False
32,Not married,Male,Trader,BSc.,0,0,2,2,0,0,4,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,2,2,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,2,67,7,4,2,3,199,33.67,Red Zone (Formative Maturity),2025-12-18T06:30:00.762475,False
32,Not married,Male,Others,BSc.,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,3,199,7,4,2,3,199,100.0,Blue Zone (Transcendent Maturity),2025-12-18T06:31:29.071556,False
32,Not married,Male,Driver,NCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,3,223,7,4,2,3,199,112.06,Violet Zone (Cosmetic Maturity),2025-12-18T06:49:47.365425,True
32,Not married,Male,Driver,NCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,3,223,7,4,2,3,199,112.06,Violet Zone (Cosmetic Maturity),2025-12-18T06:57:20.174643,True
31,Not married,Female,Teacher,NCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,3,198,7,4,2,3,198,100.0,Blue Zone (Transcendent Maturity),2025-12-18T07:06:06.113356,True
32,Not married,Male,Driver,BSc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,2,67,7,4,2,3,199,33.67,Red Zone (Formative Maturity),2025-12-18T07:49:05.832566,True
34,Not married,Female,Others,O'Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,3,225,7,4,2,3,201,111.94,Violet Zone (Cosmetic Maturity),2025-12-18T08:13:47.029869,True
18,Not married,Male,Student,O'Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,47,4,2,1,2,33,142.42,Violet Zone (Cosmetic Maturity),2025-12-18T08:21:38.383649,True
54,Married,Male,Driver,Primary,2,2,2,2,2,2,12,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,55,11,6,2,3,449,12.25,Red Zone (Formative Maturity),2025-12-18T08:23:37.864597,True
